fid,CuadrID,latitude,longitude,Area_hec,HIE_FAS,SAL_SAL,ALY_DIC,DIS_JEA,VIP_LAT,CAP_PYR,CAN_LUP,URS_ARC,MUS_LUT,GAL_PYR,ATE_ALG,MAC_CAL,PAR_APO,LUC_CER,APT_APT,LOP,LOP2,LOP3,LALOP2,LA2LOP,LALOP,LA2,LA3,LA,ORS,ORW,ALTI,ALTI2,PEND,PEND2,DAUT,DIHE,DIPR,ESCO,ETP,ETR,HUEN,HUJU,INSO,PERM,PM24,PMR,PREC,RADS,TENE,TJUL,TMED,U100,U500
"908",908,40,-6,10006,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.67405,13.49984,49.60803,552.68121,6157.95605,150.41479,1676.06775,68617.92969,40.9398,109.03551,93.10477,755.5614,570873.03129,1.05933,1.12217,68.47211,63.17544,84.8887,156.76189,739.80011,588.98297,92.2867,67.40012,2736.47461,2,83.00045,0.14102,588.98297,4.37832,4.63762,21.60488,13.46705,55.88522,188.44725
"909",909,41,-6,10006,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",3.67804,13.52919,49.76987,555.0542,6190.74756,150.89664,1683.16309,69054.11719,41.02636,76.42628,107.92916,789.46613,623256.76331,0.81107,0.65784,65.3849,61.42373,89.17455,167.7851,744.44446,619.33832,92.89899,67.13378,2702.15527,2,81.83292,0.13214,619.33832,4.37083,4.25139,21.77584,13.4676,55.92744,187.19292
"910",910,41,-6,10007,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.67626,13.51602,49.69689,555.76068,6215.61768,151.1628,1690.74805,69521.41406,41.1187,77.98069,95.29075,779.67242,607889.08921,0.68469,0.4688,63.47752,58.18103,92.18065,165.41925,741.17664,653.3783,93.52255,67.04334,2668.00415,2,83.5907,0.12791,653.3783,4.39391,3.8995,21.8899,13.6137,57.59945,186.54164
"911",911,41,-6,10006,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.68473,13.57855,50.043,559.56152,6257.41602,151.84491,1698.20386,69981.77344,41.20926,83.07458,85.95061,748.49573,560245.85409,0.80647,0.65039,61.55843,52.52991,88.0773,149.97655,741.61951,663.74988,94.12693,67.10982,2636.18652,2,85.07249,0.12813,663.74988,4.41606,3.6771,22.49093,13.74425,60.55859,186.80714
"912",912,41,-6,10006,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.68972,13.61519,50.24467,562.25751,6292.40869,152.37201,1705.38782,70426.3125,41.29633,81.95747,99.25615,712.4649,507606.24057,1.19689,1.43254,55.62743,44.89474,80.70154,140.75279,751.63293,631.46924,94.58466,68.35104,2610.53711,2,87.72143,0.13894,631.46924,4.45945,3.6756,23.18803,13.5236,64.99357,187.51656
"913",913,41,-6,8195,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",3.69587,13.66065,50.49693,565.31152,6329.18262,152.94383,1712.49548,70867.0625,41.3823,84.35093,105.54973,703.81635,495357.44777,1.73757,3.01915,50.39068,38.90816,77.66648,151.0582,784.46399,602.15143,94.24805,70.56572,2593.79639,2,90.05846,0.14965,602.15143,4.49953,3.92813,22.7696,14.04033,70.06684,188.92488
"914",914,41,-6,2483,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",3.73824,13.97457,52.2414,579.47675,6427.78955,155.01161,1719.46899,71300.35156,41.46648,91.66269,98.90553,692.22223,479171.61432,1.39279,1.93985,48.44216,39.2963,76.76676,173.41362,793.23486,584.51672,93.90304,72.50475,2579.8186,2,90.51671,0.15493,584.51672,4.51537,4.01177,22.2752,13.61556,73.98207,193.27005
"915",915,40,-6,10004,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",3.78284,14.31107,54.14566,581.93182,6254.85889,153.82166,1653.48315,67235.70312,40.66304,61.16593,115.93053,860.97369,741275.70142,0.94277,0.88881,91.74722,62.91228,90.00859,163.0592,734.72235,586.82812,89.95371,64.78215,2844.76416,3,143.26027,0.24583,587.28741,4.46653,4.83125,21.52184,12.83241,57.82655,203.46786
"916",916,40,-6,10004,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7884,14.35321,54.38491,584.90869,6291.21436,154.38152,1660.65027,67673.32812,40.75107,69.08012,92.97658,792.18182,627552.0418,0.7937,0.62996,86.11194,66.65289,85.65961,141.75389,731.56335,484.84766,90.69769,66.12562,2800.57471,3,113.63692,0.23435,484.84766,4.42197,5.14733,21.33046,13.17564,52.42116,201.53597
"917",917,40,-6,10004,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3.7877,14.34789,54.35465,586.02985,6318.86963,154.70612,1668.25952,68138.99219,40.84433,78.10999,90.62159,749.80872,562213.11029,0.59125,0.34958,81.27453,67.53913,81.33929,115.76579,730.41266,505.90179,91.32628,67.28847,2765.36304,2.49565,94.02878,0.18623,505.90179,4.38355,5.04622,21.28163,13.25158,48.37924,199.55789
